simulation_year,species,population,population_change
1,African Elephant,423300.0,8300.0
1,Black Rhino,5880.0,-120.0
1,Giant Panda,1901.0,37.0
1,Grizzly Bear,980.0,-20.0
1,Gray Wolf,206000.0,6000.0
1,Sumatran Tiger,384.0,-16.0
1,Mountain Gorilla,990.0,-10.0
1,Humpback Whale,140400.0,5400.0
1,African Lion,19800.0,-200.0
1,Sea Turtle,1880.0,-120.0
2,African Elephant,431766.0,8466.0
2,Black Rhino,5762.0,-118.0
2,Giant Panda,1939.0,38.0
2,Grizzly Bear,960.0,-20.0
2,Gray Wolf,212180.0,6180.0
2,Sumatran Tiger,368.0,-16.0
2,Mountain Gorilla,980.0,-10.0
2,Humpback Whale,146016.0,5616.0
2,African Lion,19602.0,-198.0
2,Sea Turtle,1767.0,-113.0
3,African Elephant,440401.0,8635.0
3,Black Rhino,5646.0,-116.0
3,Giant Panda,1977.0,38.0
3,Grizzly Bear,940.0,-20.0
3,Gray Wolf,218545.0,6365.0
3,Sumatran Tiger,353.0,-15.0
3,Mountain Gorilla,970.0,-10.0
3,Humpback Whale,151856.0,5840.0
3,African Lion,19405.0,-197.0
3,Sea Turtle,1660.0,-107.0
4,African Elephant,449209.0,8808.0
4,Black Rhino,5533.0,-113.0
4,Giant Panda,2016.0,39.0
4,Grizzly Bear,921.0,-19.0
4,Gray Wolf,225101.0,6556.0
4,Sumatran Tiger,338.0,-15.0
4,Mountain Gorilla,960.0,-10.0
4,Humpback Whale,157930.0,6074.0
4,African Lion,19210.0,-195.0
4,Sea Turtle,1560.0,-100.0
5,African Elephant,458193.0,8984.0
5,Black Rhino,5422.0,-111.0
5,Giant Panda,2056.0,40.0
5,Grizzly Bear,902.0,-19.0
5,Gray Wolf,231854.0,6753.0
5,Sumatran Tiger,324.0,-14.0
5,Mountain Gorilla,950.0,-10.0
5,Humpback Whale,164247.0,6317.0
5,African Lion,19017.0,-193.0
5,Sea Turtle,1466.0,-94.0
6,African Elephant,467356.0,9163.0
6,Black Rhino,5313.0,-109.0
6,Giant Panda,2097.0,41.0
6,Grizzly Bear,883.0,-19.0
6,Gray Wolf,238809.0,6955.0
6,Sumatran Tiger,311.0,-13.0
6,Mountain Gorilla,940.0,-10.0
6,Humpback Whale,170816.0,6569.0
6,African Lion,18826.0,-191.0
6,Sea Turtle,1378.0,-88.0
7,African Elephant,476703.0,9347.0
7,Black Rhino,5206.0,-107.0
7,Giant Panda,2138.0,41.0
7,Grizzly Bear,865.0,-18.0
7,Gray Wolf,245973.0,7164.0
7,Sumatran Tiger,298.0,-13.0
7,Mountain Gorilla,930.0,-10.0
7,Humpback Whale,177648.0,6832.0
7,African Lion,18637.0,-189.0
7,Sea Turtle,1295.0,-83.0
8,African Elephant,486237.0,9534.0
8,Black Rhino,5101.0,-105.0
8,Giant Panda,2180.0,42.0
8,Grizzly Bear,847.0,-18.0
8,Gray Wolf,250000.0,4027.0
8,Sumatran Tiger,286.0,-12.0
8,Mountain Gorilla,920.0,-10.0
8,Humpback Whale,184753.0,7105.0
8,African Lion,18450.0,-187.0
8,Sea Turtle,1217.0,-78.0
9,African Elephant,495961.0,9724.0
9,Black Rhino,4998.0,-103.0
9,Giant Panda,2223.0,43.0
9,Grizzly Bear,830.0,-17.0
9,Gray Wolf,250000.0,0.0
9,Sumatran Tiger,274.0,-12.0
9,Mountain Gorilla,910.0,-10.0
9,Humpback Whale,192143.0,7390.0
9,African Lion,18265.0,-185.0
9,Sea Turtle,1143.0,-74.0
10,African Elephant,500000.0,4039.0
10,Black Rhino,4898.0,-100.0
10,Giant Panda,2267.0,44.0
10,Grizzly Bear,813.0,-17.0
10,Gray Wolf,250000.0,0.0
10,Sumatran Tiger,263.0,-11.0
10,Mountain Gorilla,900.0,-10.0
10,Humpback Whale,199828.0,7685.0
10,African Lion,18082.0,-183.0
10,Sea Turtle,1074.0,-69.0
